Date,Close,High,Low,Open,Volume,ticker
2010-01-04,195.12472534179688,196.23045663954903,194.68242832346382,195.19842276471834,668858,HINDUNILVR.NS
2010-01-05,194.49819946289062,196.37793424747196,193.5030364902785,195.89878837063432,1392726,HINDUNILVR.NS
2010-01-06,195.6038818359375,196.0830275920993,193.57670767850038,195.16158479326427,1682107,HINDUNILVR.NS
2010-01-07,195.19850158691406,197.00453910099452,194.71935566363862,195.41966143346653,2723548,HINDUNILVR.NS
2010-01-08,196.04620361328125,196.82020666349194,194.7193123178509,195.4196179317862,4000986,HINDUNILVR.NS
2010-01-11,196.15675354003906,197.81535062888466,195.78817640918447,196.52533067089362,2251471,HINDUNILVR.NS
2010-01-12,193.2449951171875,196.63590939416406,192.06554373873948,196.08304366953192,3826930,HINDUNILVR.NS
2010-01-13,193.50303649902344,194.42447952997117,192.2130162556966,193.13445928664433,1917571,HINDUNILVR.NS
2010-01-14,188.74838256835938,194.31391200564042,188.19552799463068,193.57675757655693,3583983,HINDUNILVR.NS
2010-01-15,189.00637817382812,190.7386954627716,188.6378009845281,190.00154108417152,4361271,HINDUNILVR.NS
2010-01-18,189.66981506347656,190.4438406686971,187.64265174424412,189.08010055145138,1088348,HINDUNILVR.NS
2010-01-19,188.30609130859375,190.0015486969221,187.67951681052875,190.0015486969221,1122943,HINDUNILVR.NS
2010-01-20,190.0384063720703,190.6281434240631,186.86865126621913,188.71153737338105,2198874,HINDUNILVR.NS
2010-01-21,189.2643585205078,192.4709840891239,188.45348432556906,190.18580135653755,3093875,HINDUNILVR.NS
2010-01-22,190.14898681640625,191.03355860027816,185.72604916046217,186.50006353145446,5117085,HINDUNILVR.NS
2010-01-25,194.5718994140625,195.01417402652345,188.34293616664087,190.70183908187124,4355123,HINDUNILVR.NS
2010-01-27,191.1810302734375,193.87163978644872,187.75325498843802,193.87163978644872,9203979,HINDUNILVR.NS
2010-01-28,188.19554138183594,192.9501855380271,186.75809239248764,190.33329612709665,5049389,HINDUNILVR.NS
2010-01-29,178.6125030517578,185.91032669095307,177.69106010498655,185.43118085786514,6496604,HINDUNILVR.NS
2010-02-01,174.88987731933594,179.71824077629356,173.04699136233555,179.71824077629356,4987343,HINDUNILVR.NS
2010-02-02,174.33700561523438,176.9170458674683,173.23127407856268,175.8113143307966,6004275,HINDUNILVR.NS
2010-02-03,174.3001251220703,175.8112936271823,173.45240220968338,175.25842792395218,1595241,HINDUNILVR.NS
2010-02-04,170.31951904296875,176.4379025493905,169.91408189079277,174.77930522073848,3017883,HINDUNILVR.NS
2010-02-05,168.8452606201172,172.78903091681076,167.33409146519747,169.1769779350785,4345866,HINDUNILVR.NS
2010-02-08,174.33700561523438,175.59016577384568,169.3612137002118,170.28265664743822,3139856,HINDUNILVR.NS
2010-02-09,171.46209716796875,175.44272594651395,171.24094862514244,175.44272594651395,2435031,HINDUNILVR.NS
2010-02-10,169.6192169189453,172.45725435877853,168.9189113024927,172.12553715776977,2864300,HINDUNILVR.NS
2010-02-11,172.05178833007812,172.82580250116285,169.9140456176351,169.9140456176351,2299826,HINDUNILVR.NS
2010-02-15,169.3611602783203,173.12065081637436,168.80829468437585,172.05176833628497,1594781,HINDUNILVR.NS
2010-02-16,174.81619262695312,175.84821571979205,169.0295363041596,169.5455422265363,2253497,HINDUNILVR.NS
2010-02-17,177.32249450683594,180.34482082077773,175.81132572582325,175.81132572582325,3428957,HINDUNILVR.NS
2010-02-18,178.75997924804688,179.79199112385282,175.66393237254323,177.35939009544086,955635,HINDUNILVR.NS
2010-02-19,177.65423583984375,180.93457113996658,174.81618649420557,178.39139034540327,4582596,HINDUNILVR.NS
2010-02-22,181.4506072998047,182.33520185244387,178.39142009086962,179.86572934781896,2280787,HINDUNILVR.NS
2010-02-23,180.52911376953125,181.26626819284186,178.944236258647,179.86567928778527,908983,HINDUNILVR.NS
2010-02-24,178.5019073486328,180.75023018935383,177.65418441187526,179.86564728837166,1102320,HINDUNILVR.NS
2010-02-25,173.37872314453125,179.0916700909796,171.49897706092176,177.76478984089735,2791186,HINDUNILVR.NS
2010-02-26,174.1158447265625,177.9859048308171,173.23126180949214,176.80646469075066,1519988,HINDUNILVR.NS
2010-03-02,172.8258514404297,175.44275187985093,171.6832598403349,172.494134201198,1784738,HINDUNILVR.NS
2010-03-03,176.25360107421875,176.91703545795318,173.23126388591248,173.23126388591248,2569749,HINDUNILVR.NS
2010-03-04,179.4602508544922,180.1236966166667,173.82102374047298,176.25363570561078,2585303,HINDUNILVR.NS
2010-03-05,179.1284942626953,180.1605057797908,177.76475431331446,178.46505989428846,588200,HINDUNILVR.NS
2010-03-08,175.99557495117188,180.38164043332307,175.11099211202827,179.12848047386288,2970886,HINDUNILVR.NS
2010-03-09,174.00527954101562,176.880176890698,173.23126525515275,175.44272821585682,1719797,HINDUNILVR.NS
2010-03-10,176.73281860351562,176.91710725690822,173.52619153524947,173.52619153524947,1600336,HINDUNILVR.NS
2010-03-11,168.66090393066406,176.51159262593816,168.18174689294835,174.2264210740388,5414907,HINDUNILVR.NS
2010-03-12,161.7316436767578,168.66090062093178,160.9944894006594,168.66090062093178,10125660,HINDUNILVR.NS
2010-03-15,166.26513671875,167.33400808908618,160.69962010317528,163.20593995417596,6329071,HINDUNILVR.NS
2010-03-16,167.1128692626953,167.85002352609322,165.89656922732127,166.70743216821015,1801538,HINDUNILVR.NS
2010-03-17,165.04884338378906,168.62404624047008,164.237980402083,167.7026033648391,5445508,HINDUNILVR.NS
2010-03-18,165.74916076660156,167.29717815900815,164.8277178253776,165.12257506733613,2260551,HINDUNILVR.NS
2010-03-19,168.77149963378906,169.47179407248524,165.49116476446648,165.74917330676257,2391153,HINDUNILVR.NS
2010-03-22,168.25550842285156,169.1769515138858,166.59691085898993,168.07121980464473,1821015,HINDUNILVR.NS
2010-03-23,168.4397735595703,169.7666536753017,167.77633912574615,168.62406215208625,2591544,HINDUNILVR.NS
2010-03-25,171.01980590820312,172.49411457982558,166.5968798933358,166.5968798933358,5722411,HINDUNILVR.NS
2010-03-26,175.8113250732422,176.4747595365493,171.09354139440956,172.34670162959165,5921814,HINDUNILVR.NS
2010-03-29,176.69589233398438,177.2118981202816,175.44273221066754,176.03245792989975,2712461,HINDUNILVR.NS
2010-03-30,178.28074645996094,178.61246359790874,176.29042113611328,176.91700670074388,3422200,HINDUNILVR.NS
2010-03-31,176.58535766601562,178.3913838896618,175.4796259476913,177.72794935790105,2407315,HINDUNILVR.NS
2010-04-01,169.84034729003906,177.2487503012969,169.5454900674155,177.21189033644845,3320590,HINDUNILVR.NS
2010-04-05,168.882080078125,171.2778319141416,167.07604277250712,170.35638890028903,3860534,HINDUNILVR.NS
2010-04-06,169.47181701660156,170.76183740656552,168.5872338559576,169.32438836450845,2068525,HINDUNILVR.NS
2010-04-07,165.8597412109375,170.61438487603434,165.49116400824653,169.54551323784722,3120048,HINDUNILVR.NS
2010-04-08,164.164306640625,167.22350459690537,163.64830073477202,165.38061832736966,2270759,HINDUNILVR.NS
2010-04-09,163.1691436767578,165.71232430567022,162.68998653050312,164.20115541808667,2420707,HINDUNILVR.NS
2010-04-12,165.4911651611328,166.19145960150752,163.2797019295809,163.2797019295809,3422928,HINDUNILVR.NS
2010-04-13,164.7908935546875,165.93348529892702,164.2011676949427,165.85976534842698,1993094,HINDUNILVR.NS
2010-04-15,166.19146728515625,167.81320481365654,164.90144700710857,165.63860145170725,4342086,HINDUNILVR.NS
2010-04-16,167.33401489257812,167.85002061840154,164.64340637701807,166.19142355448832,3524900,HINDUNILVR.NS
2010-04-19,165.6754608154297,166.96548108874225,164.97516634524825,166.59690386779582,1595067,HINDUNILVR.NS
2010-04-20,167.9237518310547,168.5134775208166,165.12256324074704,166.9654489912018,2193926,HINDUNILVR.NS
2010-04-21,171.64639282226562,173.04698157110545,168.21861838734307,168.21861838734307,4182139,HINDUNILVR.NS
2010-04-22,174.96360778808594,176.88020254987816,170.68810986088187,170.94610716154108,6037737,HINDUNILVR.NS
2010-04-23,176.25360107421875,177.8016183856265,173.26812385124933,174.63185258405508,1959845,HINDUNILVR.NS
2010-04-26,178.0227813720703,178.39135855917604,176.1798954365416,176.54847262364737,1822070,HINDUNILVR.NS
2010-04-27,178.8705291748047,179.7919722701789,176.5484970736956,178.83368044945746,2814625,HINDUNILVR.NS
2010-04-28,178.35452270507812,179.8656916261442,176.17991925675602,177.5436595326635,2948610,HINDUNILVR.NS
2010-04-29,173.6736297607422,179.1654293286046,170.5407226836564,178.5388434139528,6704079,HINDUNILVR.NS
2010-04-30,176.76963806152344,177.65422114541073,173.96844892247688,177.54365247795639,1941014,HINDUNILVR.NS
2010-05-03,172.30984497070312,177.58049455292644,171.60955052418225,177.58049455292644,1013619,HINDUNILVR.NS
2010-05-04,171.27783203125,174.55816691319114,170.28266907637536,174.55816691319114,1444286,HINDUNILVR.NS
2010-05-05,168.62408447265625,178.39138116888662,167.77636133410402,178.39138116888662,1614615,HINDUNILVR.NS
2010-05-06,171.13038635253906,173.59985804691965,167.3340457607251,167.3340457607251,2426265,HINDUNILVR.NS
2010-05-07,172.93643188476562,175.44275242010502,169.5455170446393,174.48444942197506,2899346,HINDUNILVR.NS
