Date,Close,High,Low,Open,Volume,ticker
2010-01-04,185.35867309570312,186.0705993390344,184.04809282447968,184.04809282447968,11031470,SBIN.NS
2010-01-05,185.42745971679688,186.87961803797157,184.46069559427488,186.717819971754,11613740,SBIN.NS
2010-01-06,186.5398406982422,187.28412168755136,184.85711363112523,185.82791438481541,14527930,SBIN.NS
2010-01-07,185.49623107910156,186.87963118303233,184.54161378018952,186.55603502783552,8576510,SBIN.NS
2010-01-08,184.9420928955078,186.3861659440693,184.460735212654,185.58524867933014,10453820,SBIN.NS
2010-01-11,183.41709899902344,187.09806387065697,183.09753946586838,185.82792366571275,14145340,SBIN.NS
2010-01-12,178.23948669433594,183.64361898406057,177.67317491005295,183.40091569713957,22917720,SBIN.NS
2010-01-13,176.0308837890625,177.57608181443197,174.59086005848386,177.57608181443197,21719690,SBIN.NS
2010-01-14,174.53018188476562,177.89967238802663,173.57555236770366,177.00977690672525,20723990,SBIN.NS
2010-01-15,173.39759826660156,176.23314432169076,172.86769014390916,175.3917869494461,20611920,SBIN.NS
2010-01-18,174.453369140625,176.60935624329113,173.35312480200196,175.9581148927947,19222170,SBIN.NS
2010-01-19,175.80435180664062,176.92886491903383,174.50185713593487,175.53737946917175,12277070,SBIN.NS
2010-01-20,174.73245239257812,176.8965371302702,174.1418838653723,176.6861885233517,16830720,SBIN.NS
2010-01-21,171.84027099609375,174.84976210691875,170.8856413658591,174.66368259304812,19265470,SBIN.NS
2010-01-22,168.86715698242188,170.41639151867165,166.09227166542001,169.90267931537417,27193180,SBIN.NS
2010-01-25,169.2110137939453,172.8838807527988,166.2945500673509,166.2945500673509,15378040,SBIN.NS
2010-01-27,160.80140686035156,167.3341006125596,159.46250849856605,166.65454136769694,38068910,SBIN.NS
2010-01-28,162.06346130371094,169.89056479343145,161.07244041572343,169.89056479343145,27952460,SBIN.NS
2010-01-29,166.37950134277344,167.25322575637108,158.16407975884798,160.99154029778902,46487190,SBIN.NS
2010-02-01,163.5196533203125,173.77376391948303,163.05447928624054,173.77376391948303,22047160,SBIN.NS
2010-02-02,160.0490264892578,165.45720661424173,159.7092345518353,164.24370277727363,24086260,SBIN.NS
2010-02-03,161.70346069335938,163.08684837240372,160.46568757236125,160.6922073367007,30450710,SBIN.NS
2010-02-04,157.5856475830078,161.5335851371542,156.94654081226832,161.47696136110525,35357120,SBIN.NS
2010-02-05,154.32479858398438,156.94323067915522,151.50307214855556,156.94323067915522,26878830,SBIN.NS
2010-02-08,157.47586059570312,158.39068512534033,153.1741578225738,154.5036983387299,18885130,SBIN.NS
2010-02-09,158.59396362304688,159.2201136017199,156.5366261012217,157.0245374315307,13836980,SBIN.NS
2010-02-10,155.4673309326172,160.1959598547428,154.0971288958059,160.1959598547428,19731930,SBIN.NS
2010-02-11,155.93896484375,157.75641684339882,155.39820732805293,156.44720072275578,12427940,SBIN.NS
2010-02-15,154.09713745117188,156.53666997018777,153.38967699125055,156.53666997018777,13325010,SBIN.NS
2010-02-16,156.17881774902344,156.5366177176741,154.09708601298308,155.64211779604744,8070150,SBIN.NS
2010-02-17,159.1265869140625,159.58603404195063,156.71958922176196,157.3497966222545,13468360,SBIN.NS
2010-02-18,157.95155334472656,159.38274083634093,156.72364775730333,159.21196815445222,13103230,SBIN.NS
2010-02-19,154.93466186523438,157.26847662346256,153.69457151089577,156.53662205501686,15863020,SBIN.NS
2010-02-22,155.83323669433594,157.34981691602454,155.32907070891847,156.1300508934197,11528650,SBIN.NS
2010-02-23,155.4713592529297,157.30913535730323,155.04037630629296,155.71531490772972,10625770,SBIN.NS
2010-02-24,156.231689453125,156.94321959377032,154.50368768298634,154.99159902838352,8173590,SBIN.NS
2010-02-25,155.61367797851562,156.94321839280258,154.78016380384878,156.53662974411657,21615960,SBIN.NS
2010-02-26,160.5456085205078,165.23764560430297,155.72347248255087,156.53664988454855,43215190,SBIN.NS
2010-03-02,161.5498809814453,163.52997835204707,160.53747909987962,161.8670196677251,19347350,SBIN.NS
2010-03-03,164.4569854736328,164.74159009044314,161.74910351219052,161.74910351219052,15843680,SBIN.NS
2010-03-04,165.29454040527344,166.27035060785283,163.61125756914154,164.50575749289763,14301070,SBIN.NS
2010-03-05,166.4736785888672,167.433221966524,164.3512850751235,166.29477856793073,12685070,SBIN.NS
2010-03-08,167.9983673095703,171.78370669401397,165.32707686895228,167.5145258175947,38664790,SBIN.NS
2010-03-09,166.26222229003906,168.97823126657906,165.28234223664998,165.28234223664998,14305280,SBIN.NS
2010-03-10,165.66453552246094,166.7175985423818,164.7822327716625,166.7175985423818,12767630,SBIN.NS
2010-03-11,166.35577392578125,166.92906551553438,164.12360580184503,165.88819937485022,11979800,SBIN.NS
2010-03-12,166.5305938720703,167.7300354973268,165.77841470542384,166.05082218520866,12033430,SBIN.NS
2010-03-15,163.8633575439453,166.27443773169347,163.53809157867434,165.84751219316144,8997490,SBIN.NS
2010-03-16,163.9243927001953,164.66844465722886,162.44033382803585,164.02197003013964,12857170,SBIN.NS
2010-03-17,164.85543823242188,166.0508099117411,163.9080920933662,164.26589210732593,10777370,SBIN.NS
2010-03-18,165.0465545654297,166.7420349713056,163.4893252421725,165.0750187535043,14269070,SBIN.NS
2010-03-19,167.3884735107422,167.99022914802137,165.34333320508895,165.88816047847268,12889130,SBIN.NS
2010-03-22,165.96542358398438,167.01035940217392,163.4486388243641,164.6806019490297,11151560,SBIN.NS
2010-03-23,166.5834503173828,167.24212201625934,164.14798801131158,166.05082012097762,13650500,SBIN.NS
2010-03-25,166.66476440429688,167.64464459499857,164.68467955248835,166.26630303792186,13646480,SBIN.NS
2010-03-26,168.55946350097656,168.97824932382352,166.29883154742,167.09574184555476,13422710,SBIN.NS
2010-03-29,170.36471557617188,171.17382302558173,168.57165812629046,168.73429110597723,11231550,SBIN.NS
2010-03-30,169.34825134277344,172.552172055814,168.7342984789203,170.3647230203573,11929880,SBIN.NS
2010-03-31,168.99452209472656,170.67779274966125,168.60013058537518,169.5474767344225,9997220,SBIN.NS
2010-04-01,170.9786376953125,171.41776034235303,168.7586673604732,169.14086164626417,7681450,SBIN.NS
2010-04-05,173.8776397705078,174.1988482895071,171.17382763508925,171.987004963522,11075350,SBIN.NS
2010-04-06,172.6822509765625,174.65013842720109,171.7511719616945,174.3370696537245,12359300,SBIN.NS
2010-04-07,171.65362548828125,173.61338612695653,170.44199902511525,173.23119173159319,13004150,SBIN.NS
2010-04-08,170.433837890625,171.56415391134522,169.75484175158496,171.17383225742572,11497010,SBIN.NS
2010-04-09,171.26329040527344,172.80019517426396,170.24274881141622,170.76725170162558,12367190,SBIN.NS
2010-04-12,170.11668395996094,171.9869941797055,169.14087370864655,171.9869941797055,8614120,SBIN.NS
2010-04-13,170.27528381347656,171.74306305309008,167.75849878754272,170.52329696264468,17619090,SBIN.NS
2010-04-15,167.03067016601562,171.50314499074068,166.53870140956386,170.4948007451594,13016220,SBIN.NS
2010-04-16,166.5143280029297,167.09574682523922,164.68873643035766,166.70135531755412,9466180,SBIN.NS
2010-04-19,165.27423095703125,166.2866452224079,163.6112847207114,165.88411398586697,9250600,SBIN.NS
2010-04-20,170.63307189941406,171.30394072054534,164.34314470395861,166.0833437081053,24993280,SBIN.NS
2010-04-21,171.23887634277344,172.31226392041674,169.67757742468265,171.58040931784635,15633000,SBIN.NS
2010-04-22,180.77743530273438,182.87543412967193,169.31164334243405,169.31164334243405,65306760,SBIN.NS
2010-04-23,183.82687377929688,186.54288320980035,179.79352098355199,181.3385530191289,31784560,SBIN.NS
2010-04-26,183.09095764160156,185.32312564787367,182.2411887422956,184.10335954029722,12145600,SBIN.NS
2010-04-27,180.34646606445312,183.37148670473587,179.63900576261483,183.12753102572574,11094760,SBIN.NS
2010-04-28,181.5174560546875,183.11534663107014,177.47596347679456,179.2242898834282,18684250,SBIN.NS
2010-04-29,184.91651916503906,185.8110191878271,181.74513255352016,182.15172121695088,21393940,SBIN.NS
2010-04-30,187.0877227783203,188.56769913402152,185.4044396727707,185.4044396727707,19146310,SBIN.NS
2010-05-03,186.7990264892578,187.43737366819792,185.16454453069454,186.21760767903396,13160890,SBIN.NS
2010-05-04,185.4125518798828,188.32372810558374,184.84333025096942,187.43736782569712,13397620,SBIN.NS
2010-05-05,185.09542846679688,185.81102852097135,182.1923917162971,183.7780851017047,16717010,SBIN.NS
2010-05-06,187.97409057617188,188.65715661355222,183.96511954592063,185.40444701676685,17751300,SBIN.NS
2010-05-07,181.02548217773438,186.36398111490695,180.39120483058315,185.01411612959384,16085350,SBIN.NS
2010-05-10,187.66912841796875,189.07185183249692,182.32654753675598,182.96489470288586,14791690,SBIN.NS
2010-05-11,186.04275512695312,190.1980912592735,185.49792787304494,188.16920563745822,18377970,SBIN.NS
2010-05-12,188.9986572265625,190.2021560967527,185.56704819768888,186.21759248712422,20204040,SBIN.NS
2010-05-13,188.4741668701172,191.01534597476282,187.53494806568824,189.6329470234558,17762910,SBIN.NS
2010-05-14,180.8710174560547,189.78750623575675,179.8423483606394,188.25060117604326,33008880,SBIN.NS
2010-05-17,183.02586364746094,184.75386527147202,174.1297027131384,179.71216889715376,25703050,SBIN.NS
2010-05-18,185.40443420410156,186.86815590312267,181.44832196348784,182.79412947350545,18901340,SBIN.NS
2010-05-19,180.04965209960938,184.8352086022545,178.08583431772504,183.77807559728703,20415020,SBIN.NS
2010-05-20,184.387939453125,185.56704397131548,180.61479755005539,180.68798052382377,17039960,SBIN.NS
2010-05-21,184.68882751464844,185.40442752128786,179.74065050938225,180.68799662026646,15706440,SBIN.NS
2010-05-24,181.43614196777344,187.925306712777,180.76527307793847,185.56708475007179,15195470,SBIN.NS
2010-05-25,175.24781799316406,180.52534261119087,173.85729189726231,180.52534261119087,17355820,SBIN.NS
2010-05-26,176.75222778320312,177.76057215551043,174.96324011009793,176.60584940924005,16500270,SBIN.NS
2010-05-27,180.4765625,182.80224995258268,175.4267262717763,176.45946486298442,21781920,SBIN.NS
2010-05-28,182.10293579101562,183.68050181839055,179.1551679288841,182.47699041946652,13567960,SBIN.NS
2010-05-31,184.49368286132812,184.9571875029433,181.3385507432741,181.3385507432741,11989040,SBIN.NS
2010-06-01,179.6837158203125,185.07915504801937,179.06977540758368,183.0543391412477,14423360,SBIN.NS
2010-06-02,183.63577270507812,184.3473028868045,179.71219447032152,179.89109448008944,12342500,SBIN.NS
2010-06-03,185.998046875,187.5146270595809,184.18873476393406,184.18873476393406,12587190,SBIN.NS
2010-06-04,190.34446716308594,190.93402564760095,185.3230950347455,186.21759499578204,19478740,SBIN.NS
2010-06-07,185.95335388183594,188.65716639269687,181.57032796929525,183.0625016256308,14925200,SBIN.NS
2010-06-08,185.71340942382812,189.58819821283856,184.47737662874016,186.05494235245126,14018340,SBIN.NS
2010-06-09,186.4271697998047,189.4214845716777,185.23764800759722,187.45262177890152,18141760,SBIN.NS
2010-06-10,190.88583374023438,191.80054141550667,185.89394049661306,185.89394049661306,24496840,SBIN.NS
2010-06-11,191.95639038085938,215.7632844284834,190.8242875140966,215.7632844284834,15063270,SBIN.NS
2010-06-14,192.374755859375,193.60119219489698,190.81607414521517,192.374755859375,10187660,SBIN.NS
2010-06-15,193.9498748779297,194.7825413450143,190.3238783528175,192.77676387762446,15305340,SBIN.NS
2010-06-16,193.7447967529297,198.28139538038272,192.40760334489622,198.28139538038272,14141550,SBIN.NS
2010-06-17,192.8546905517578,193.76938562153035,190.6150946229029,193.52327466566769,10331080,SBIN.NS
2010-06-18,194.63897705078125,195.24194329137268,191.9646029013566,192.77265952966314,15597620,SBIN.NS
2010-06-21,195.88592529296875,197.11236177565513,194.83586353512365,194.83586353512365,8879250,SBIN.NS
2010-06-22,193.15821838378906,196.39453799038355,192.79315150797257,194.83585614828647,8514510,SBIN.NS
2010-06-23,192.748046875,193.44125337679066,191.02118934057253,192.7849616421238,10849420,SBIN.NS
2010-06-24,193.40431213378906,194.09751854068395,191.80050404265916,192.78493525103494,12123400,SBIN.NS
2010-06-25,188.748779296875,193.19513721602573,187.4526065981396,192.79726137964897,13022720,SBIN.NS
2010-06-28,188.9825897216797,189.87267497819508,186.63224941497432,187.69872191517607,10718170,SBIN.NS
2010-06-29,187.95713806152344,191.05399785669775,187.1367765244999,189.09333428392048,14208420,SBIN.NS
2010-06-30,188.8472137451172,189.66757524055012,186.63224021099288,187.02601022383823,10610400,SBIN.NS
2010-07-01,185.5863037109375,188.60112250761733,184.90949539227944,187.95304236627894,14219900,SBIN.NS
2010-07-02,185.81597900390625,187.03421628911164,185.184297166242,185.8118731908798,8907340,SBIN.NS
2010-07-05,186.4271697998047,188.19094219676148,184.87258109453106,185.8200977217986,6192550,SBIN.NS
2010-07-06,189.7332305908203,190.24185077914353,186.08672977373354,186.46819491497595,10143910,SBIN.NS
2010-07-07,189.01950073242188,190.24183138526436,187.94482914459792,189.4214698656768,8912210,SBIN.NS
2010-07-08,193.34280395507812,194.167271317901,189.91369868707596,189.91369868707596,17562290,SBIN.NS
2010-07-09,194.33541870117188,195.12706447706893,193.61349663691814,194.0154782440998,9803290,SBIN.NS
2010-07-12,196.9442138671875,197.8712139562941,194.42980357890627,194.8399843758794,14948170,SBIN.NS
2010-07-13,199.2740020751953,199.93029373627445,196.07458492158028,196.96878841219024,17615470,SBIN.NS
2010-07-14,202.17811584472656,203.36763767311504,199.9221214220942,199.9221214220942,18159640,SBIN.NS
2010-07-15,200.15591430664062,202.87541486170986,199.67599728962446,202.6703244731553,8162390,SBIN.NS
2010-07-16,200.9065399169922,202.19861938096892,199.19198727040342,200.57840030191093,9528070,SBIN.NS
2010-07-19,201.4192352294922,202.05502284880416,199.01968805930161,200.0820546097414,7630370,SBIN.NS
