ticker,method,accuracy,macro_f1,n_test
LEELAHOTELS,no_augmentation,0.31746031746031744,0.20771241830065362,63
LEELAHOTELS,bootstrap,0.2857142857142857,0.21509803921568627,63
LEELAHOTELS,markov_cross_transfer,0.20634920634920634,0.11373737373737373,63
LEELAHOTELS,qcbm_cross_transfer,0.2222222222222222,0.11671840354767182,63
AEGISVOPAK,no_augmentation,0.20634920634920634,0.15104209799861973,63
AEGISVOPAK,bootstrap,0.19047619047619047,0.13731400966183577,63
AEGISVOPAK,markov_cross_transfer,0.20634920634920634,0.12999999999999998,63
AEGISVOPAK,qcbm_cross_transfer,0.25396825396825395,0.149159891598916,63
SUZLON,no_augmentation,0.31135531135531136,0.21255083912716338,819
SUZLON,bootstrap,0.31135531135531136,0.21285931865687152,819
SUZLON,markov_cross_transfer,0.3162393162393162,0.21296707288145642,819
SUZLON,qcbm_cross_transfer,0.3162393162393162,0.21296707288145642,819
IEX,no_augmentation,0.2465437788018433,0.12840825350036847,434
IEX,bootstrap,0.26497695852534564,0.1372578616352201,434
IEX,markov_cross_transfer,0.2626728110599078,0.14241949856950037,434
IEX,qcbm_cross_transfer,0.23963133640552994,0.12555750506822788,434
HAPPSTMNDS,no_augmentation,0.32989690721649484,0.18824889326119038,291
HAPPSTMNDS,bootstrap,0.30927835051546393,0.18190063560040975,291
HAPPSTMNDS,markov_cross_transfer,0.3402061855670103,0.18253004513579144,291
HAPPSTMNDS,qcbm_cross_transfer,0.32646048109965636,0.1838679468942627,291
TANLA,no_augmentation,0.2612942612942613,0.17379825484775224,819
TANLA,bootstrap,0.2600732600732601,0.17233609982521328,819
TANLA,markov_cross_transfer,0.2686202686202686,0.17276752201731999,819
TANLA,qcbm_cross_transfer,0.2686202686202686,0.17259292119522165,819
RAILTEL,no_augmentation,0.35315985130111527,0.21413492415955174,269
RAILTEL,bootstrap,0.35315985130111527,0.20120818098211246,269
RAILTEL,markov_cross_transfer,0.31970260223048325,0.18511622868171176,269
RAILTEL,qcbm_cross_transfer,0.3345724907063197,0.18848676518505741,269
MAZDOCK,no_augmentation,0.2465277777777778,0.14846219180741604,288
MAZDOCK,bootstrap,0.2604166666666667,0.16195669934640522,288
MAZDOCK,markov_cross_transfer,0.28125,0.16179028183274843,288
MAZDOCK,qcbm_cross_transfer,0.28125,0.16462812016533124,288
KPITTECH,no_augmentation,0.2520775623268698,0.18838801512057315,361
KPITTECH,bootstrap,0.24376731301939059,0.19822365941736092,361
KPITTECH,markov_cross_transfer,0.2659279778393352,0.19288759626468285,361
KPITTECH,qcbm_cross_transfer,0.2548476454293629,0.18489937522368838,361
IRFC,no_augmentation,0.336996336996337,0.21841088833455244,273
IRFC,bootstrap,0.34798534798534797,0.22197151625411174,273
IRFC,markov_cross_transfer,0.32967032967032966,0.18074279869474205,273
IRFC,qcbm_cross_transfer,0.32967032967032966,0.17054285646466805,273
