ticker,window,method,accuracy,macro_f1,n_test
LEELAHOTELS,0.15,no_augmentation,0.3829787234042553,0.2616279069767442,47
LEELAHOTELS,0.15,bootstrap,0.40425531914893614,0.3061861861861862,47
LEELAHOTELS,0.15,markov_cross_transfer,0.23404255319148937,0.12241860465116279,47
LEELAHOTELS,0.15,qcbm_cross_transfer,0.2127659574468085,0.1112701252236136,47
AEGISVOPAK,0.15,no_augmentation,0.20833333333333334,0.16539449112978524,48
AEGISVOPAK,0.15,bootstrap,0.22916666666666666,0.1727731092436975,48
AEGISVOPAK,0.15,markov_cross_transfer,0.22916666666666666,0.15820954644484056,48
AEGISVOPAK,0.15,qcbm_cross_transfer,0.1875,0.13506787330316744,48
SUZLON,0.15,no_augmentation,0.3024390243902439,0.19733876880682222,615
SUZLON,0.15,bootstrap,0.3105691056910569,0.20318381018032242,615
SUZLON,0.15,markov_cross_transfer,0.3170731707317073,0.1989367632059584,615
SUZLON,0.15,qcbm_cross_transfer,0.3284552845528455,0.21363728801682705,615
IEX,0.15,no_augmentation,0.2668711656441718,0.13803030303030303,326
IEX,0.15,bootstrap,0.27607361963190186,0.19066646355870026,326
IEX,0.15,markov_cross_transfer,0.26993865030674846,0.13733821733821733,326
IEX,0.15,qcbm_cross_transfer,0.2607361963190184,0.13259185700099305,326
HAPPSTMNDS,0.15,no_augmentation,0.3561643835616438,0.21960897262130658,219
HAPPSTMNDS,0.15,bootstrap,0.3378995433789954,0.18720181650033818,219
HAPPSTMNDS,0.15,markov_cross_transfer,0.3470319634703196,0.19727026064077618,219
HAPPSTMNDS,0.15,qcbm_cross_transfer,0.3470319634703196,0.2065499636728537,219
TANLA,0.15,no_augmentation,0.26991869918699185,0.17805660140654864,615
TANLA,0.15,bootstrap,0.2731707317073171,0.18308088896581104,615
TANLA,0.15,markov_cross_transfer,0.25691056910569104,0.16143377776399195,615
TANLA,0.15,qcbm_cross_transfer,0.26178861788617885,0.16545112461344205,615
RAILTEL,0.15,no_augmentation,0.3118811881188119,0.18616660611393573,202
RAILTEL,0.15,bootstrap,0.3415841584158416,0.19850896961504758,202
RAILTEL,0.15,markov_cross_transfer,0.3465346534653465,0.21694897408562666,202
RAILTEL,0.15,qcbm_cross_transfer,0.3465346534653465,0.21694897408562666,202
MAZDOCK,0.15,no_augmentation,0.26851851851851855,0.15573698531122596,216
MAZDOCK,0.15,bootstrap,0.2638888888888889,0.15631542535696868,216
MAZDOCK,0.15,markov_cross_transfer,0.30092592592592593,0.18402841518524382,216
MAZDOCK,0.15,qcbm_cross_transfer,0.2962962962962963,0.1801661600810537,216
KPITTECH,0.15,no_augmentation,0.25830258302583026,0.19250111078549076,271
KPITTECH,0.15,bootstrap,0.3062730627306273,0.23082109884185495,271
KPITTECH,0.15,markov_cross_transfer,0.28044280442804426,0.19059781558217273,271
KPITTECH,0.15,qcbm_cross_transfer,0.2915129151291513,0.19707859125202037,271
IRFC,0.15,no_augmentation,0.3170731707317073,0.20973025232607118,205
IRFC,0.15,bootstrap,0.3073170731707317,0.17252912113671606,205
IRFC,0.15,markov_cross_transfer,0.33170731707317075,0.19351165372428258,205
IRFC,0.15,qcbm_cross_transfer,0.34146341463414637,0.19850094514333075,205
LEELAHOTELS,0.2,no_augmentation,0.31746031746031744,0.20771241830065362,63
LEELAHOTELS,0.2,bootstrap,0.31746031746031744,0.23885220125786163,63
LEELAHOTELS,0.2,markov_cross_transfer,0.23809523809523808,0.12547169811320755,63
LEELAHOTELS,0.2,qcbm_cross_transfer,0.2222222222222222,0.11545454545454545,63
AEGISVOPAK,0.2,no_augmentation,0.20634920634920634,0.15104209799861973,63
AEGISVOPAK,0.2,bootstrap,0.2222222222222222,0.16025396825396826,63
AEGISVOPAK,0.2,markov_cross_transfer,0.19047619047619047,0.11626794258373205,63
AEGISVOPAK,0.2,qcbm_cross_transfer,0.15873015873015872,0.10283454185893211,63
SUZLON,0.2,no_augmentation,0.31135531135531136,0.21255083912716338,819
SUZLON,0.2,bootstrap,0.3125763125763126,0.21772410886635382,819
SUZLON,0.2,markov_cross_transfer,0.31868131868131866,0.22366005862419197,819
SUZLON,0.2,qcbm_cross_transfer,0.32722832722832723,0.22436003235847304,819
IEX,0.2,no_augmentation,0.2465437788018433,0.12840825350036847,434
IEX,0.2,bootstrap,0.27419354838709675,0.17232708530527363,434
IEX,0.2,markov_cross_transfer,0.2626728110599078,0.13530245788310305,434
IEX,0.2,qcbm_cross_transfer,0.2557603686635945,0.13172690763052208,434
HAPPSTMNDS,0.2,no_augmentation,0.32989690721649484,0.18824889326119038,291
HAPPSTMNDS,0.2,bootstrap,0.3161512027491409,0.1782693488943489,291
HAPPSTMNDS,0.2,markov_cross_transfer,0.36769759450171824,0.21522825143000762,291
HAPPSTMNDS,0.2,qcbm_cross_transfer,0.36769759450171824,0.2158301099923099,291
TANLA,0.2,no_augmentation,0.2612942612942613,0.17379825484775224,819
TANLA,0.2,bootstrap,0.26495726495726496,0.17718826409493887,819
TANLA,0.2,markov_cross_transfer,0.2576312576312576,0.16520479681657316,819
TANLA,0.2,qcbm_cross_transfer,0.25518925518925517,0.16820826702866612,819
RAILTEL,0.2,no_augmentation,0.35315985130111527,0.21413492415955174,269
RAILTEL,0.2,bootstrap,0.35687732342007433,0.2229066421594737,269
RAILTEL,0.2,markov_cross_transfer,0.34572490706319703,0.2256399701158338,269
RAILTEL,0.2,qcbm_cross_transfer,0.34572490706319703,0.21386608283160005,269
MAZDOCK,0.2,no_augmentation,0.2465277777777778,0.14846219180741604,288
MAZDOCK,0.2,bootstrap,0.2708333333333333,0.17513117370540782,288
MAZDOCK,0.2,markov_cross_transfer,0.2777777777777778,0.16955360867751357,288
MAZDOCK,0.2,qcbm_cross_transfer,0.2847222222222222,0.17781243501767519,288
KPITTECH,0.2,no_augmentation,0.2520775623268698,0.18838801512057315,361
KPITTECH,0.2,bootstrap,0.24653739612188366,0.2007597701105659,361
KPITTECH,0.2,markov_cross_transfer,0.2631578947368421,0.18190005342271906,361
KPITTECH,0.2,qcbm_cross_transfer,0.26869806094182824,0.18406929963297797,361
IRFC,0.2,no_augmentation,0.336996336996337,0.21841088833455244,273
IRFC,0.2,bootstrap,0.34798534798534797,0.20214033920851343,273
IRFC,0.2,markov_cross_transfer,0.326007326007326,0.18299497113056437,273
IRFC,0.2,qcbm_cross_transfer,0.336996336996337,0.1901222846104736,273
LEELAHOTELS,0.25,no_augmentation,0.3291139240506329,0.24367897309073777,79
LEELAHOTELS,0.25,bootstrap,0.31645569620253167,0.2119254658385093,79
LEELAHOTELS,0.25,markov_cross_transfer,0.27848101265822783,0.1373580006491399,79
LEELAHOTELS,0.25,qcbm_cross_transfer,0.31645569620253167,0.16473684210526315,79
AEGISVOPAK,0.25,no_augmentation,0.22784810126582278,0.16726529477196886,79
AEGISVOPAK,0.25,bootstrap,0.17721518987341772,0.11644444444444443,79
AEGISVOPAK,0.25,markov_cross_transfer,0.25316455696202533,0.15346938775510205,79
AEGISVOPAK,0.25,qcbm_cross_transfer,0.22784810126582278,0.140829346092504,79
SUZLON,0.25,no_augmentation,0.3125,0.21470752757649883,1024
SUZLON,0.25,bootstrap,0.306640625,0.20893931941494276,1024
SUZLON,0.25,markov_cross_transfer,0.3154296875,0.22306581221599572,1024
SUZLON,0.25,qcbm_cross_transfer,0.3212890625,0.22444344352330092,1024
IEX,0.25,no_augmentation,0.2504604051565378,0.15253030180572552,543
IEX,0.25,bootstrap,0.2596685082872928,0.16459358274413022,543
IEX,0.25,markov_cross_transfer,0.2578268876611418,0.145113356282314,543
IEX,0.25,qcbm_cross_transfer,0.24861878453038674,0.1399846026015373,543
HAPPSTMNDS,0.25,no_augmentation,0.3021978021978022,0.1664893983830861,364
HAPPSTMNDS,0.25,bootstrap,0.3021978021978022,0.1735545366314597,364
HAPPSTMNDS,0.25,markov_cross_transfer,0.31043956043956045,0.17862167863987977,364
HAPPSTMNDS,0.25,qcbm_cross_transfer,0.32142857142857145,0.18324710158017798,364
TANLA,0.25,no_augmentation,0.2744140625,0.18533798197694357,1024
TANLA,0.25,bootstrap,0.263671875,0.18223999665159885,1024
TANLA,0.25,markov_cross_transfer,0.2763671875,0.1965462842419326,1024
TANLA,0.25,qcbm_cross_transfer,0.2666015625,0.18871138900861822,1024
RAILTEL,0.25,no_augmentation,0.3273809523809524,0.20131192168007872,336
RAILTEL,0.25,bootstrap,0.33035714285714285,0.22023043348120747,336
RAILTEL,0.25,markov_cross_transfer,0.3273809523809524,0.20989509091376174,336
RAILTEL,0.25,qcbm_cross_transfer,0.30952380952380953,0.19177177406038437,336
MAZDOCK,0.25,no_augmentation,0.25277777777777777,0.15819748514721407,360
MAZDOCK,0.25,bootstrap,0.29444444444444445,0.17246789922974398,360
MAZDOCK,0.25,markov_cross_transfer,0.275,0.17833768956665913,360
MAZDOCK,0.25,qcbm_cross_transfer,0.28888888888888886,0.18321558708714875,360
KPITTECH,0.25,no_augmentation,0.25055432372505543,0.20309365450369832,451
KPITTECH,0.25,bootstrap,0.2660753880266075,0.2225889710464816,451
KPITTECH,0.25,markov_cross_transfer,0.2749445676274945,0.19474146146656665,451
KPITTECH,0.25,qcbm_cross_transfer,0.2793791574279379,0.19666343679209694,451
IRFC,0.25,no_augmentation,0.30791788856304986,0.20404051204371973,341
IRFC,0.25,bootstrap,0.31671554252199413,0.23354950715088765,341
IRFC,0.25,markov_cross_transfer,0.3196480938416422,0.1787700069503258,341
IRFC,0.25,qcbm_cross_transfer,0.3255131964809384,0.1777892403444454,341
